Volume 21   Number  16,"",109th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,0,0,***.*,-100.0,-100.0,-100.0 
Rape,0,0,***.*,1,1,0.0,1,8,-87.5,-83.3,-83.3,-87.5 
Robbery,4,6,-33.3,16,16,0.0,58,79,-26.6,-19.4,-25.6,-82.5 
Fel. Assault,3,6,-50.0,19,22,-13.6,81,64,26.6,5.2,47.3,-15.6 
Burglary,10,6,66.7,30,46,-34.8,151,173,-12.7,20.8,19.8,-79.8 
Gr. Larceny,14,17,-17.6,73,67,9.0,278,235,18.3,33.7,2.2,-23.8 
G.L.A.,4,4,0.0,16,13,23.1,62,47,31.9,-8.8,-19.5,-94.8 
TOTAL,35,39,-10.26,155,165,-6.06,631,606,4.13,13.29,2.44,-76.98 
Transit,2,1,100.0,5,1,400.0,8,5,60.0,60.0,300.0,***.* 
Housing,0,0,***.*,1,1,0.0,5,2,150.0,150.0,150.0,***.* 
Petit Larceny,29,30,-3.3,106,114,-7.0,424,428,-0.9,-12.2,-6.8,***.* 
Misd. Assault,18,12,50.0,59,47,25.5,220,200,10.0,6.8,22.2,***.* 
Misd. Sex Crimes,0,0,***.*,4,0,***.*,8,11,-27.3,-27.3,-46.7,***.* 
Shooting Vic.,0,0,***.*,0,2,-100.0,0,3,-100.0,***.*,-100.0,-100.0 
Shooting Inc.,0,0,***.*,0,1,-100.0,0,2,-100.0,***.*,-100.0,-100.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,19,11,3,5,1,-80.0,-66.7,-90.9,-94.7,Murder 
Rape,33,34,28,22,31,40.9,10.7,-8.8,-6.1,Rape 
Robbery,"1,220","1,217",480,388,243,-37.4,-49.4,-80.0,-80.1,Robbery 
Fel. Assault,378,350,363,327,286,-12.5,-21.2,-18.3,-24.3,Fel. Assault 
Burglary,"3,189","2,378","1,440",964,471,-51.1,-67.3,-80.2,-85.2,Burglary 
Gr. Larceny,"1,877","1,367",993,"1,175",904,-23.1,-9.0,-33.9,-51.8,Gr. Larceny 
G.L.A.,"4,813","4,153","1,668","1,075",210,-80.5,-87.4,-94.9,-95.6,G.L.A. 
TOTAL,"11,529","9,510","4,975","3,956","2,146",-45.75,-56.86,-77.43,-81.39,TOTAL
