Volume 21   Number  16,"",Manhattan South 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,1,3,-66.7,-66.7,0.0,-96.6 
Rape,2,1,100.0,10,10,0.0,34,34,0.0,21.4,70.0,-44.3 
Robbery,25,19,31.6,75,77,-2.6,301,305,-1.3,-21.0,-34.3,-90.0 
Fel. Assault,23,16,43.8,81,82,-1.2,362,371,-2.4,1.7,-4.0,-62.2 
Burglary,23,25,-8.0,107,113,-5.3,472,480,-1.7,4.2,-14.2,-86.6 
Gr. Larceny,181,202,-10.4,736,780,-5.6,"2,927","3,242",-9.7,-1.6,-9.0,-68.5 
G.L.A.,7,4,75.0,21,24,-12.5,69,76,-9.2,-20.7,-37.8,-96.3 
TOTAL,261,267,-2.25,"1,030","1,086",-5.16,"4,166","4,511",-7.65,-2.71,-11.98,-77.79 
Transit,8,12,-33.3,27,36,-25.0,154,124,24.2,-3.8,-6.7,***.* 
Housing,8,4,100.0,27,29,-6.9,108,116,-6.9,11.3,12.5,***.* 
Petit Larceny,317,312,1.6,"1,146","1,242",-7.7,"4,341","4,772",-9.0,-11.8,-11.3,***.* 
Misd. Assault,55,74,-25.7,248,251,-1.2,"1,019","1,025",-0.6,-13.9,-2.6,***.* 
Misd. Sex Crimes,6,8,-25.0,29,32,-9.4,115,109,5.5,-5.7,-15.4,***.* 
Shooting Vic.,1,0,***.*,1,1,0.0,4,4,0.0,300.0,-20.0,-91.3 
Shooting Inc.,1,0,***.*,1,1,0.0,3,4,-25.0,200.0,-25.0,-92.5
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,124,86,26,24,12,-50.0,-53.8,-86.0,-90.3,Murder 
Rape,207,222,114,93,102,9.7,-10.5,-54.1,-50.7,Rape 
Robbery,"14,866","10,574","4,193","2,701","1,186",-56.1,-71.7,-88.8,-92.0,Robbery 
Fel. Assault,"3,997","3,477","2,281","1,714","1,284",-25.1,-43.7,-63.1,-67.9,Fel. Assault 
Burglary,"16,090","12,208","5,326","3,720","1,569",-57.8,-70.5,-87.1,-90.2,Burglary 
Gr. Larceny,"44,811","33,123","20,131","16,673","11,203",-32.8,-44.3,-66.2,-75.0,Gr. Larceny 
G.L.A.,"9,446","6,254","2,526","1,457",311,-78.7,-87.7,-95.0,-96.7,G.L.A. 
TOTAL,"89,541","65,944","34,597","26,382","15,667",-40.61,-54.72,-76.24,-82.50,TOTAL
