Volume 21   Number  16,"",Staten Island 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"","","","","","","","","",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,2,0,***.*,4,3,33.3,***.*,-20.0,-42.9 
Rape,0,2,-100.0,1,4,-75.0,10,13,-23.1,-56.5,-41.2,-64.3 
Robbery,5,6,-16.7,25,34,-26.5,116,120,-3.3,-9.4,19.6,-72.2 
Fel. Assault,10,15,-33.3,55,50,10.0,208,164,26.8,3.5,70.5,-33.3 
Burglary,10,9,11.1,54,38,42.1,170,170,0.0,-13.3,-7.1,-82.7 
Gr. Larceny,20,28,-28.6,86,92,-6.5,338,306,10.5,22.5,27.5,-25.9 
G.L.A.,4,1,300.0,18,13,38.5,70,58,20.7,9.4,-19.5,-95.3 
TOTAL,49,61,-19.67,241,231,4.33,916,834,9.83,3.15,18.04,-75.13 
Transit,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.* 
Housing,0,1,-100.0,9,5,80.0,29,21,38.1,16.0,31.8,***.* 
Petit Larceny,61,57,7.0,254,241,5.4,968,978,-1.0,-5.7,-13.3,***.* 
Misd. Assault,44,42,4.8,138,144,-4.2,519,531,-2.3,-26.3,-1.0,***.* 
Misd. Sex Crimes,0,2,-100.0,3,2,50.0,22,9,144.4,-40.5,-12.0,***.* 
Shooting Vic.,1,1,0.0,6,3,100.0,12,8,50.0,71.4,0.0,-40.0 
Shooting Inc.,1,1,0.0,5,3,66.7,10,8,25.0,66.7,25.0,-44.4
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,29,25,12,13,7,-46.2,-41.7,-72.0,-75.9,Murder 
Rape,80,79,55,38,57,50.0,3.6,-27.8,-28.8,Rape 
Robbery,"1,035","1,397",535,381,522,37.0,-2.4,-62.6,-49.6,Robbery 
Fel. Assault,"1,225","1,218",745,637,661,3.8,-11.3,-45.7,-46.0,Fel. Assault 
Burglary,"3,641","3,397","1,295",988,686,-30.6,-47.0,-79.8,-81.2,Burglary 
Gr. Larceny,"2,075","1,671",964,963,"1,249",29.7,29.6,-25.3,-39.8,Gr. Larceny 
G.L.A.,"7,224","4,876","1,729","1,023",224,-78.1,-87.0,-95.4,-96.9,G.L.A. 
TOTAL,"15,309","12,663","5,335","4,043","3,406",-15.76,-36.16,-73.10,-77.75,TOTAL
